Lot Number,Contract Number,Provider or Practice Name,Full practice address,Full practice 2 address,Full practice 3 address,Borough ,ICS,Email,Service,RandomID
1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hillingdon,NWL,REDACTED,Endodontics,GW21828RN155
2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hounslow;Ealing,NWL,REDACTED,Endodontics,GW21828RN156
3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Brent;Harrow,NWL,REDACTED,Endodontics,GW21828RN157
4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hammersmith and Fulham;Kensington and Chelsea;Westminster,NWL,REDACTED,Endodontics,GW21828RN158
5,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Waltham Forest;Redbridge,NEL,REDACTED,Endodontics,GW21828RN159
6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barking and Dagenham;Havering,NEL,REDACTED,Endodontics,GW21828RN160
7,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,City of London;Hackney;Tower Hamlets;Newham,NEL,REDACTED,Endodontics,GW21828RN161
8,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet;Enfield,NCL,REDACTED,Endodontics,GW21828RN162
9,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Haringey;Camden;Islington,NCL,REDACTED,Endodontics,GW21828RN163
10,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bexley;Greenwich,SEL,REDACTED,Endodontics,GW21828RN164
11,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bromley,SEL,REDACTED,Endodontics,GW21828RN165
12,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lambeth;Lewisham;Southwark,SEL,REDACTED,Endodontics,GW21828RN166
13,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sutton;Croydon,SWL,REDACTED,Endodontics,GW21828RN167
14,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Merton;Richmond upon Thames;Kingston upon Thames;Wandsworth,SWL,REDACTED,Endodontics,GW21828RN168
